county,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
5021,15400,67,90,54,3,89,44,19,57,69,69,89,6,5,3,0.21835381,0.18515934,0.003636364,0.21388024,0.066253215,0.26516411,0.026924822,0.094938695,0.094918787,0.42129871,0.017402597,0.013051949,0.001815157
5023,25711,28,43,7,5,70,1,12,42,84,84,98,11,6,8,0.14534239,0.12272923,0.005172883,0.14993371,0.02284139,0.23845623,0.021364575,0.10762287,0.10458629,0.44895181,0.023841936,0.013885108,0.004036625
5025,8510,36,88,18,62,62,11,7,7,73,73,69,8,8,3,0.2077352,0.14197785,0.10987074,0.13776393,0.041691661,0.21535693,0.010197961,0.099680327,0.08827123,0.40846065,0.01985899,0.016333725,0.00119976
5027,24327,75,96,79,94,75,51,38,28,82,82,97,13,18,5,0.25638428,0.2147295,0.35458544,0.15841979,0.068875693,0.31812024,0.016463479,0.10355083,0.051032972,0.43926501,0.02688371,0.031980928,0.00270918
5029,21110,60,91,59,65,73,35,21,59,51,51,80,21,11,11,0.22573222,0.19184446,0.11999053,0.15701167,0.058239657,0.27050945,0.028103324,0.082433529,0.080588922,0.41378492,0.038749408,0.021127427,0.005740254
5031,101409,73,86,84,68,52,55,70,42,40,40,80,26,21,19,0.20215122,0.22025424,0.13667426,0.1247042,0.071531869,0.40897119,0.021304617,0.076888949,0.05543042,0.4137108,0.046869606,0.037521325,0.009967978
5033,61748,45,78,35,12,66,8,10,75,50,50,32,36,23,33,0.18512937,0.16172764,0.011255425,0.14477852,0.036534313,0.23269483,0.042623367,0.081336208,0.074911915,0.39704931,0.065961652,0.041977067,0.017632881
5035,49765,97,94,99,98,82,88,76,75,81,81,63,10,8,6,0.24077852,0.28597581,0.50724405,0.18942237,0.11532592,0.42778504,0.043165468,0.10203797,0.043200277,0.40636992,0.022505777,0.016537728,0.003324613
5037,17467,67,85,48,83,84,59,55,11,63,63,88,6,2,5,0.20117414,0.17648283,0.2283735,0.19863014,0.075166233,0.36021972,0.011419485,0.090049341,0.072676793,0.41959122,0.017289747,0.006240339,0.002891009
5039,7868,49,50,26,96,78,89,46,2,58,58,75,14,16,3,0.15528035,0.15212208,0.40912557,0.16926214,0.11945813,0.33990148,0.006773399,0.087171055,0.056013178,0.41128623,0.027834265,0.027961362,0.001539409
5041,12379,97,100,94,98,92,92,75,43,100,100,90,25,15,23,0.33013767,0.24776652,0.47839081,0.22546743,0.13846737,0.42526555,0.022003034,0.18544266,0.098920867,0.42345908,0.046449631,0.027385088,0.012518968
5043,18740,75,99,43,90,79,18,65,45,99,99,90,15,8,4,0.28585249,0.16976932,0.28788689,0.17396908,0.047853433,0.39253485,0.022696199,0.14834696,0.055479217,0.42305228,0.028815368,0.016435431,0.001914137
5045,119343,33,50,35,63,24,22,56,40,25,25,76,22,16,13,0.15505445,0.16212468,0.11257468,0.091376409,0.050157394,0.36829925,0.020877697,0.067738503,0.059867132,0.41157001,0.040153172,0.029235061,0.007013239
5047,17866,55,90,30,8,81,15,27,32,89,89,84,14,5,16,0.21980153,0.15557422,0.007388335,0.17889339,0.04554835,0.28979954,0.018278303,0.1140056,0.11400925,0.4159297,0.027202507,0.012369865,0.008402122
5049,12224,39,85,1,1,66,18,13,68,46,46,97,2,7,1,0.19943091,0.098666668,0.001227094,0.14532486,0.047735848,0.24226415,0.035471696,0.078275785,0.075757578,0.44281742,0.011534686,0.015379582,0
5051,96954,61,88,57,52,47,57,41,48,69,69,96,29,17,29,0.20852771,0.18793111,0.082936235,0.11863746,0.074162327,0.32705384,0.024125094,0.09549091,0.080833137,0.43915671,0.051797759,0.031530418,0.015636634
5053,18054,14,27,8,30,40,2,9,17,72,72,37,3,6,3,0.1197195,0.12406753,0.037997119,0.11052844,0.026534481,0.22656363,0.013558828,0.098549277,0.095256023,0.39852664,0.012241054,0.014567409,0.001457939
5055,43382,49,68,24,9,75,9,51,23,67,67,59,12,3,2,0.17772144,0.15053764,0.009174312,0.16079947,0.038844265,0.3533749,0.014866323,0.093324758,0.088205457,0.40440735,0.025863262,0.009727537,0.001079007
5057,22336,80,98,86,91,91,59,39,48,53,53,63,55,36,48,0.26968127,0.22247839,0.296875,0.21873732,0.076057777,0.32251054,0.02415953,0.084454067,0.068600737,0.40651864,0.12482092,0.064693771,0.028889174
5059,33316,50,80,50,64,71,26,24,22,47,47,33,16,4,14,0.19102272,0.17937788,0.11655061,0.15243772,0.053394858,0.280323,0.014584707,0.07931491,0.07202547,0.39722657,0.03142634,0.010985713,0.007086355
5061,13555,85,90,92,82,91,75,47,47,63,63,76,51,32,48,0.21825546,0.23809524,0.21800074,0.21952583,0.093681917,0.34660327,0.023569023,0.090203516,0.054567307,0.41150868,0.10571745,0.056805607,0.02832244
5063,36952,55,90,40,19,78,30,26,61,26,26,82,34,20,23,0.21793795,0.16717449,0.02002598,0.17077471,0.055976965,0.285925,0.02942829,0.069502734,0.065292537,0.41429421,0.059888504,0.035667893,0.012642225
5065,13480,49,88,12,12,81,41,7,41,83,83,94,7,13,3,0.21003234,0.13216093,0.012017804,0.17910448,0.062714003,0.21859795,0.020904668,0.10425355,0.099369086,0.42848665,0.017952522,0.023442136,0.001261489
5067,17597,80,97,70,74,96,63,39,67,53,53,81,14,2,6,0.26756814,0.20535254,0.1719043,0.23022553,0.077614769,0.32008204,0.034390282,0.083869815,0.07205414,0.41399103,0.028072966,0.007273967,0.002997318
5069,73548,83,96,94,99,70,67,55,22,90,90,34,8,8,11,0.2546663,0.2423304,0.55483496,0.15221761,0.082008608,0.36025465,0.014758704,0.11754135,0.063226581,0.39761788,0.018695274,0.016927721,0.006152424
5071,25930,52,91,14,15,89,37,26,73,19,19,72,57,42,35,0.22093622,0.13549702,0.014963363,0.20732713,0.059440214,0.28750867,0.03946197,0.064167604,0.059222825,0.40983418,0.13382183,0.076436557,0.01948373
5073,7270,68,95,43,95,90,84,24,3,96,96,90,3,2,3,0.24414669,0.17056856,0.38198075,0.21618475,0.10353357,0.28162545,0.007773852,0.13256262,0.12973534,0.4229711,0.012379643,0.007152682,0.001413428
5075,17029,54,94,35,9,81,27,29,39,33,33,95,3,2,1,0.2385439,0.16066927,0.008984673,0.17942917,0.054062128,0.29614696,0.020459976,0.073185734,0.066116899,0.43173411,0.01192084,0.007164249,0.000149343
5077,9966,90,98,79,99,99,94,78,1,100,100,2,10,4,7,0.2734718,0.21441442,0.56411803,0.31197134,0.16421637,0.43106797,0.006380028,0.18458727,0.090796791,0.36112782,0.022576761,0.011037528,0.003606103
5079,14062,86,92,85,92,90,84,31,61,99,99,1,18,6,1,0.22988388,0.22160085,0.30657089,0.21631803,0.10396039,0.30272278,0.029455446,0.14691824,0.13046135,0.31076661,0.035130139,0.01464941,0
5081,12720,52,82,56,81,70,41,19,9,63,63,88,16,4,1,0.1932577,0.18724519,0.20691824,0.15160932,0.063416488,0.26490194,0.010855075,0.090573773,0.067224756,0.41988993,0.031210693,0.011477987,0
5083,22001,56,82,48,18,80,36,19,55,56,56,76,12,9,26,0.19343133,0.17742474,0.018499158,0.17536013,0.059008013,0.26402602,0.026251597,0.085958593,0.077463217,0.41161767,0.025498841,0.018408254,0.014519689
5085,70691,24,29,30,43,55,18,29,42,14,14,29,21,11,12,0.12439746,0.15545806,0.060828112,0.12809548,0.047744028,0.29611331,0.021421127,0.060208376,0.051618602,0.39560905,0.03850561,0.020837165,0.00663862
5087,15702,42,87,4,1,90,10,12,52,34,34,44,30,18,27,0.20479989,0.11323593,0.000191058,0.21559165,0.040391292,0.23871884,0.025244556,0.074923769,0.071849406,0.40052223,0.05247739,0.03260731,0.014831177
5089,16458,38,79,3,2,66,18,6,45,90,90,96,10,6,1,0.18846107,0.11082081,0.002551951,0.14609152,0.047604837,0.20996866,0.022683181,0.11707481,0.10756844,0.43759874,0.022420708,0.014157249,0.000298463
5091,43652,72,86,59,86,68,65,52,42,72,72,58,15,3,3,0.20274128,0.19146219,0.24727389,0.14766197,0.07959906,0.35601416,0.021462264,0.09872628,0.081682004,0.40435719,0.029712269,0.008934299,0.001238208
5093,44864,92,97,90,94,86,71,75,58,92,92,47,21,9,3,0.26772565,0.23329335,0.34519881,0.20361865,0.087451138,0.42418763,0.027361298,0.12188006,0.096233271,0.4011457,0.038338087,0.018388908,0.001808529
5095,7713,95,100,90,96,96,94,61,44,95,95,96,9,6,11,0.32782802,0.23095945,0.4068456,0.23102494,0.16944115,0.38079667,0.022294886,0.13110368,0.082657203,0.43510956,0.021133151,0.013483729,0.005648038
5097,9197,29,69,2,6,84,30,5,39,4,4,96,19,13,1,0.17946161,0.10788863,0.006197673,0.19622137,0.055498458,0.20375128,0.020298047,0.046045199,0.044203501,0.43720779,0.036859844,0.023485919,0
5099,8793,56,98,5,92,76,69,26,68,70,70,94,17,7,5,0.28130439,0.11655875,0.30615261,0.16627984,0.084677421,0.28830644,0.034562211,0.096176468,0.069185056,0.4277266,0.032070965,0.015580576,0.002880184
5101,8052,33,87,1,1,82,9,1,55,4,4,90,2,4,3,0.20493239,0.098382749,0,0.18095881,0.03897281,0.15770392,0.025981873,0.048465267,0.040663123,0.42300048,0.010556383,0.010432191,0.001812689
5103,25044,73,94,81,96,63,76,42,21,61,61,89,8,2,8,0.24118076,0.21693431,0.40101421,0.13916157,0.094105385,0.3303639,0.014404852,0.088890985,0.037323419,0.42026034,0.019605495,0.008105734,0.004169826
